INTLDES,NORAD_CAT_ID,OBJECT_NAME,APOGEE,PERIGEE
2022-136Q,54065,STARLINK-5187,541,538
2020-006T,45061,STARLINK-1169,548,546
2020-006X,45065,STARLINK-1139,548,546
2020-038M,45741,STARLINK-1480,548,546
2020-057AQ,46155,STARLINK-1667,548,546
2020-070BJ,46588,STARLINK-1746,549,546
2020-074AE,46767,STARLINK-1917,548,546
1994-074BY,46892,RESURS O1 DEB,547,546
2021-005AP,47386,STARLINK-2106,548,546
2021-005BM,47408,STARLINK-2135,548,546
2021-009A,47548,STARLINK-1782,548,546
2021-012AL,47654,STARLINK-2038,548,546
2021-017BL,47780,STARLINK-2213,549,546
2021-018AK,47820,STARLINK-2403,548,546
2021-036K,48285,STARLINK-2548,548,546
2021-036AS,48316,STARLINK-2507,548,546
2021-044BG,48692,STARLINK-2752,548,546
2021-115AD,49751,STARLINK-3229,542,538
2021-115AR,49763,STARLINK-3198,542,537
2022-001G,50809,STARLINK-3232,542,538
2022-005K,51113,STARLINK-3372,542,538
2022-005S,51120,STARLINK-3398,542,538
2022-005AY,51150,STARLINK-3357,541,538
2022-016C,51716,STARLINK-3543,542,538
2022-016AN,51750,STARLINK-3505,542,538
2022-016AX,51759,STARLINK-3456,542,538
2022-017A,51768,STARLINK-3622,542,538
2022-017D,51771,STARLINK-3614,542,538
2022-017V,51787,STARLINK-3619,542,538
2022-022AS,51892,STARLINK-3587,542,538
2022-025S,51972,STARLINK-3671,542,538
2022-041Z,52284,STARLINK-3561,542,538
2022-045Z,52354,STARLINK-3876,542,538
2022-049AZ,52498,STARLINK-3925,541,538
2022-051G,52539,STARLINK-3757,542,538
2022-053AJ,52688,STARLINK-4032,542,538
2022-062H,52837,STARLINK-4036,542,538
2022-062AH,52861,STARLINK-4112,542,538
2022-076L,52996,STARLINK-4295,542,538
2022-077A,53043,STARLINK-4362,565,561
2022-077Y,53065,STARLINK-4312,564,562
2022-077AC,53069,STARLINK-4323,565,561
2022-077AE,53071,STARLINK-4328,565,561
2022-083AB,53157,STARLINK-4093,541,538
2022-083AL,53166,STARLINK-4110,541,538
2022-084K,53198,STARLINK-4385,564,562
2022-084S,53205,STARLINK-4397,564,562
2022-084AG,53219,STARLINK-4373,565,561
2022-084AS,53229,STARLINK-4367,565,561
2022-086A,53242,STARLINK-4056,541,538
2022-099AH,53496,STARLINK-4465,565,561
2022-099AQ,53503,STARLINK-4461,564,562
2022-125AL,53998,STARLINK-5128,541,539
2020-001AC,44940,STARLINK-1091,548,546
2020-006AA,45068,STARLINK-1161,548,546
2020-006AH,45075,STARLINK-1174,548,546
2020-006BB,45093,STARLINK-1142,548,546
2020-012AR,45217,STARLINK-1271,548,546
2020-012BC,45228,STARLINK-1222,548,546
2020-012BE,45230,STARLINK-1227,548,546
2020-012BM,45237,STARLINK-1270,548,546
2020-019AV,45403,STARLINK-1259,549,546
2020-019AW,45404,STARLINK-1260,549,546
