INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
1982-092CAB,52814,DEBRIS,COSMOS 1408 DEB,CIS,1982-09-16,PKMTR,,94.09,82.47,522,427,,,0,SMALL,8270,1982,92,CAB,Y,COSMOS 1408 DEB,1982-092CAB,52814
2022-062Z,52853,PAYLOAD,STARLINK-4189,US,2022-06-17,AFETR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,62,Z,Y,STARLINK-4189,2022-062Z,52853
2022-062AC,52856,PAYLOAD,STARLINK-4201,US,2022-06-17,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,62,AC,Y,STARLINK-4201,2022-062AC,52856
2022-062AD,52857,PAYLOAD,STARLINK-4199,US,2022-06-17,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,62,AD,Y,STARLINK-4199,2022-062AD,52857
2022-062AF,52859,PAYLOAD,STARLINK-4196,US,2022-06-17,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,62,AF,Y,STARLINK-4196,2022-062AF,52859
2022-062AU,52872,PAYLOAD,STARLINK-4213,US,2022-06-17,AFETR,,95.44,53.21,541,539,,,0,LARGE,8270,2022,62,AU,Y,STARLINK-4213,2022-062AU,52872
2022-062BE,52882,PAYLOAD,STARLINK-4181,US,2022-06-17,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,62,BE,Y,STARLINK-4181,2022-062BE,52882
2022-065B,52895,PAYLOAD,KSLV-II DUMMY,SKOR,2022-06-21,NSC,,98.75,98.05,706,693,,,0,MEDIUM,8270,2022,65,B,Y,KSLV-II DUMMY,2022-065B,52895
2022-068C,52909,PAYLOAD,YAOGAN-35 02C,PRC,2022-06-23,XSC,,94.5,35.0,499,489,,,0,LARGE,8270,2022,68,C,Y,YAOGAN-35 02C,2022-068C,52909
2022-074A,52944,PAYLOAD,RECURVE,US,2022-07-02,WRAS,,94.34,45.02,489,484,,,0,MEDIUM,8270,2022,74,A,Y,RECURVE,2022-074A,52944
2022-074G,52950,PAYLOAD,CTIM,US,2022-07-02,WRAS,,94.21,45.01,486,475,,,0,MEDIUM,8270,2022,74,G,Y,CTIM,2022-074G,52950
2022-076S,53002,PAYLOAD,STARLINK-4121,US,2022-07-07,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,76,S,Y,STARLINK-4121,2022-076S,53002
2022-076X,53007,PAYLOAD,STARLINK-4215,US,2022-07-07,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,76,X,Y,STARLINK-4215,2022-076X,53007
2022-076AJ,53018,PAYLOAD,STARLINK-4279,US,2022-07-07,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,76,AJ,Y,STARLINK-4279,2022-076AJ,53018
2022-076AY,53032,PAYLOAD,STARLINK-4115,US,2022-07-07,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,76,AY,Y,STARLINK-4115,2022-076AY,53032
2022-076BB,53035,PAYLOAD,STARLINK-4157,US,2022-07-07,AFETR,,95.44,53.22,541,538,,,0,MEDIUM,8270,2022,76,BB,Y,STARLINK-4157,2022-076BB,53035
2022-077AD,53070,PAYLOAD,STARLINK-4342,US,2022-07-11,AFWTR,,95.92,97.66,564,562,,,0,LARGE,8270,2022,77,AD,Y,STARLINK-4342,2022-077AD,53070
2022-077AJ,53075,PAYLOAD,STARLINK-4348,US,2022-07-11,AFWTR,,95.92,97.65,565,561,,,0,LARGE,8270,2022,77,AJ,Y,STARLINK-4348,2022-077AJ,53075
2022-077AM,53078,PAYLOAD,STARLINK-4322,US,2022-07-11,AFWTR,,95.92,97.65,565,561,,,0,LARGE,8270,2022,77,AM,Y,STARLINK-4322,2022-077AM,53078
2022-077AR,53082,PAYLOAD,STARLINK-4321,US,2022-07-11,AFWTR,,95.92,97.65,566,560,,,0,LARGE,8270,2022,77,AR,Y,STARLINK-4321,2022-077AR,53082
2022-082A,53128,PAYLOAD,SUPERVIEW NEO-2 O1,PRC,2022-07-15,TSC,,94.45,97.38,500,484,,,0,LARGE,8270,2022,82,A,Y,SUPERVIEW NEO-2 O1,2022-082A,53128
2022-083F,53137,PAYLOAD,STARLINK-4145,US,2022-07-17,AFETR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,83,F,Y,STARLINK-4145,2022-083F,53137
2022-083AH,53163,PAYLOAD,STARLINK-4104,US,2022-07-17,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,83,AH,Y,STARLINK-4104,2022-083AH,53163
2022-083AS,53172,PAYLOAD,STARLINK-4299,US,2022-07-17,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,83,AS,Y,STARLINK-4299,2022-083AS,53172
2022-084V,53208,PAYLOAD,STARLINK-4425,US,2022-07-22,AFWTR,,95.92,97.66,564,562,,,0,LARGE,8270,2022,84,V,Y,STARLINK-4425,2022-084V,53208
2022-084W,53209,PAYLOAD,STARLINK-4423,US,2022-07-22,AFWTR,,95.92,97.66,564,562,,,0,LARGE,8270,2022,84,W,Y,STARLINK-4423,2022-084W,53209
2022-086H,53249,PAYLOAD,STARLINK-4128,US,2022-07-24,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,86,H,Y,STARLINK-4128,2022-086H,53249
2022-086P,53255,PAYLOAD,STARLINK-4142,US,2022-07-24,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,86,P,Y,STARLINK-4142,2022-086P,53255
2022-086S,53258,PAYLOAD,STARLINK-4127,US,2022-07-24,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,86,S,Y,STARLINK-4127,2022-086S,53258
2022-086W,53262,PAYLOAD,STARLINK-4085,US,2022-07-24,AFETR,,95.44,53.22,541,539,,,0,LARGE,8270,2022,86,W,Y,STARLINK-4085,2022-086W,53262
2022-086AB,53267,PAYLOAD,STARLINK-4060,US,2022-07-24,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,86,AB,Y,STARLINK-4060,2022-086AB,53267
2022-086AH,53273,PAYLOAD,STARLINK-4051,US,2022-07-24,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,86,AH,Y,STARLINK-4051,2022-086AH,53273
2022-086AK,53275,PAYLOAD,STARLINK-4179,US,2022-07-24,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,86,AK,Y,STARLINK-4179,2022-086AK,53275
2022-086AL,53276,PAYLOAD,STARLINK-4174,US,2022-07-24,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,86,AL,Y,STARLINK-4174,2022-086AL,53276
2022-086AV,53285,PAYLOAD,STARLINK-4173,US,2022-07-24,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,86,AV,Y,STARLINK-4173,2022-086AV,53285
2022-093E,53361,DEBRIS,CZ-2F DEB,PRC,2022-08-04,JSC,,89.31,49.74,262,218,,,0,SMALL,8270,2022,93,E,Y,CZ-2F DEB,2022-093E,53361
2022-095C,53369,UNKNOWN,OBJECT C,PRC,2022-08-09,JSC,,94.33,97.4,537,435,,,0,MEDIUM,8270,2022,95,C,Y,OBJECT C,2022-095C,53369
2022-096A,53370,PAYLOAD,KHAYYAM,IRAN,2022-08-09,TTMTR,,94.46,97.43,494,491,,,0,LARGE,8270,2022,96,A,Y,KHAYYAM,2022-096A,53370
2022-096N,53382,UNKNOWN,OBJECT N,CIS,2022-08-09,TTMTR,,94.26,97.43,485,480,,,0,SMALL,8270,2022,96,N,Y,OBJECT N,2022-096N,53382
2022-097D,53391,PAYLOAD,STARLINK-4521,US,2022-08-10,AFETR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,97,D,Y,STARLINK-4521,2022-097D,53391
2022-097S,53404,PAYLOAD,STARLINK-4509,US,2022-08-10,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,97,S,Y,STARLINK-4509,2022-097S,53404
2022-097V,53407,PAYLOAD,STARLINK-4537,US,2022-08-10,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,97,V,Y,STARLINK-4537,2022-097V,53407
2022-097AF,53417,PAYLOAD,STARLINK-4484,US,2022-08-10,AFETR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,97,AF,Y,STARLINK-4484,2022-097AF,53417
2022-097AN,53424,PAYLOAD,STARLINK-4532,US,2022-08-10,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,97,AN,Y,STARLINK-4532,2022-097AN,53424
2022-097AY,53434,PAYLOAD,STARLINK-4498,US,2022-08-10,AFETR,,95.44,53.22,541,539,,,0,LARGE,8270,2022,97,AY,Y,STARLINK-4498,2022-097AY,53434
2022-097AZ,53435,PAYLOAD,STARLINK-4542,US,2022-08-10,AFETR,,95.44,53.22,541,539,,,0,LARGE,8270,2022,97,AZ,Y,STARLINK-4542,2022-097AZ,53435
2022-097BA,53436,PAYLOAD,STARLINK-4527,US,2022-08-10,AFETR,,95.44,53.22,541,539,,,0,LARGE,8270,2022,97,BA,Y,STARLINK-4527,2022-097BA,53436
2022-098B,53445,UNKNOWN,OBJECT B,PRC,2022-08-10,TSC,,95.36,97.53,542,530,,,0,MEDIUM,8270,2022,98,B,Y,OBJECT B,2022-098B,53445
